participant_id,group,question_id,question,answer,icon,vibration,duration,font,color,score
CE9,experiment,Q09,what_place_was_lecture,idk,1,1,0,0,0,0
CE9,experiment,Q10,what_was_the_subject_of_the_email_from_susan,idk,0,0,0,1,0,0
CE9,experiment,Q11,what_restaurant_did_you_order_from_via_door_dash,idk,1,0,0,0,0,0
CE9,experiment,Q12,what_was_the_remaining_battery_power,5,0,0,0,1,1,1
CE9,experiment,Q13,what_was_the_weather_in_chicago,snowy,1,1,1,1,1,0
CE9,experiment,Q14,what_was_the_temperature_in_chicago,46,1,1,1,1,1,1
EC1,experiment,Q01,what_day_and_time_was_dinner,630,1,1,0,1,0,0
EC1,experiment,Q02,what_place_was_dinner,Fresh fin poke,1,1,0,1,0,1
EC1,experiment,Q03,what_was_the_message_from_mary,Something about studying,0,0,1,1,0,0
EC1,experiment,Q04,what_item_did_you_order_from_amazon,2 boxes of stuff,1,1,1,1,1,0
EC1,experiment,Q05,what_was_the_number_of_missed_calls,3,0,0,0,1,0,1
EC1,experiment,Q06,what_was_the_sport_for_the_score_update,Football,1,0,1,0,0,1
EC1,experiment,Q07,what_was_the_score_in_the_game,16-16,1,0,1,0,0,1
EC1,control,Q08,what_day_and_time_was_lecture,Tuesday,NA,NA,NA,NA,NA,0
EC1,control,Q09,what_place_was_lecture,Idk,NA,NA,NA,NA,NA,0
EC1,control,Q10,what_was_the_subject_of_the_email_from_susan,Idk,NA,NA,NA,NA,NA,0
EC1,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s,NA,NA,NA,NA,NA,1
EC1,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC1,control,Q13,what_was_the_weather_in_chicago,Idk,NA,NA,NA,NA,NA,0
EC1,control,Q14,what_was_the_temperature_in_chicago,Idk,NA,NA,NA,NA,NA,0
EC10,experiment,Q01,what_day_and_time_was_dinner,8pm,1,1,0,0,0,0
EC10,experiment,Q02,what_place_was_dinner,Freshfin,1,1,0,0,0,1
EC10,experiment,Q03,what_was_the_message_from_mary,Dinner at 8 pm,1,1,0,1,1,0
EC10,experiment,Q04,what_item_did_you_order_from_amazon,Monitor,0,0,0,1,1,1
EC10,experiment,Q05,what_was_the_number_of_missed_calls,2,1,1,1,0,0,0
EC10,experiment,Q06,what_was_the_sport_for_the_score_update,Football,1,1,0,1,0,1
EC10,experiment,Q07,what_was_the_score_in_the_game,8-Aug,1,1,0,1,0,0
EC10,control,Q08,what_day_and_time_was_lecture,Thursday 2pm,NA,NA,NA,NA,NA,0
EC10,control,Q09,what_place_was_lecture,Lecture hall,NA,NA,NA,NA,NA,0
EC10,control,Q10,what_was_the_subject_of_the_email_from_susan,Dinner at Fin,NA,NA,NA,NA,NA,0
EC10,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s Pizza,NA,NA,NA,NA,NA,1
EC10,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC10,control,Q13,what_was_the_weather_in_chicago,Partly cloudy,NA,NA,NA,NA,NA,1
EC10,control,Q14,what_was_the_temperature_in_chicago,42f,NA,NA,NA,NA,NA,0
EC11,experiment,Q01,what_day_and_time_was_dinner,Wednesday 6pm,0,0,1,0,1,1
EC11,experiment,Q02,what_place_was_dinner,Red Fin,0,0,1,0,1,1
EC11,experiment,Q03,what_was_the_message_from_mary,Pick her up,0,1,0,0,0,0
EC11,experiment,Q04,what_item_did_you_order_from_amazon,Idk,0,0,0,1,0,0
EC11,experiment,Q05,what_was_the_number_of_missed_calls,2,0,1,0,1,0,0
EC11,experiment,Q06,what_was_the_sport_for_the_score_update,Football,0,0,0,0,1,1
EC11,experiment,Q07,what_was_the_score_in_the_game,MN 19 - WI 16,0,0,0,0,1,0
EC11,control,Q08,what_day_and_time_was_lecture,Wednesday,NA,NA,NA,NA,NA,0
EC11,control,Q09,what_place_was_lecture,Discovery building,NA,NA,NA,NA,NA,1
EC11,control,Q10,what_was_the_subject_of_the_email_from_susan,Blank,NA,NA,NA,NA,NA,0
EC11,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Red fish,NA,NA,NA,NA,NA,0
EC11,control,Q12,what_was_the_remaining_battery_power,1%,NA,NA,NA,NA,NA,0
EC11,control,Q13,what_was_the_weather_in_chicago,Cloudy,NA,NA,NA,NA,NA,1
EC11,control,Q14,what_was_the_temperature_in_chicago,22°,NA,NA,NA,NA,NA,0
EC12,experiment,Q01,what_day_and_time_was_dinner,Saturday 6 pm,0,1,1,1,1,1
EC12,experiment,Q02,what_place_was_dinner,Restaurant,0,1,1,1,1,0
EC12,experiment,Q03,what_was_the_message_from_mary,Science Seminar,1,0,0,1,0,0
EC12,experiment,Q04,what_item_did_you_order_from_amazon,Package,1,1,1,1,0,0
EC12,experiment,Q05,what_was_the_number_of_missed_calls,3,0,0,1,1,0,1
EC12,experiment,Q06,what_was_the_sport_for_the_score_update,Football,0,1,1,1,0,1
EC12,experiment,Q07,what_was_the_score_in_the_game,16 vs 16,0,1,1,1,0,1
EC12,control,Q08,what_day_and_time_was_lecture,Monday,NA,NA,NA,NA,NA,0
EC12,control,Q09,what_place_was_lecture,Lecture hall,NA,NA,NA,NA,NA,0
EC12,control,Q10,what_was_the_subject_of_the_email_from_susan,Science seninar,NA,NA,NA,NA,NA,1
EC12,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Restaurant,NA,NA,NA,NA,NA,0
EC12,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC12,control,Q13,what_was_the_weather_in_chicago,Rainy,NA,NA,NA,NA,NA,0
EC12,control,Q14,what_was_the_temperature_in_chicago,52,NA,NA,NA,NA,NA,0
EC13,experiment,Q01,what_day_and_time_was_dinner,Tuesday 6:00pm,0,1,1,0,1,1
EC13,experiment,Q02,what_place_was_dinner,Fresh Finn,0,1,1,0,1,1
EC13,experiment,Q03,what_was_the_message_from_mary,I’m here,0,1,1,0,0,1
EC13,experiment,Q04,what_item_did_you_order_from_amazon,Motor,0,0,0,0,0,0
EC13,experiment,Q05,what_was_the_number_of_missed_calls,3,1,1,0,0,1,1
EC13,experiment,Q06,what_was_the_sport_for_the_score_update,Wisconsin / Minnesota,0,0,1,1,1,0
EC13,experiment,Q07,what_was_the_score_in_the_game,16-16,0,0,1,1,1,1
EC13,control,Q08,what_day_and_time_was_lecture,Not remeber,NA,NA,NA,NA,NA,0
EC13,control,Q09,what_place_was_lecture,Not remember,NA,NA,NA,NA,NA,0
EC13,control,Q10,what_was_the_subject_of_the_email_from_susan,Not remember,NA,NA,NA,NA,NA,0
EC13,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Ivan Pizza,NA,NA,NA,NA,NA,1
EC13,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC13,control,Q13,what_was_the_weather_in_chicago,Partly cloud,NA,NA,NA,NA,NA,1
EC13,control,Q14,what_was_the_temperature_in_chicago,46F,NA,NA,NA,NA,NA,1
EC14,experiment,Q01,what_day_and_time_was_dinner,I don’t know,0,1,1,0,1,0
EC14,experiment,Q02,what_place_was_dinner,I don’t remember,0,1,1,0,1,0
EC14,experiment,Q03,what_was_the_message_from_mary,I’m here,1,0,1,0,0,1
EC14,experiment,Q04,what_item_did_you_order_from_amazon,Monitor,1,1,0,0,1,1
EC14,experiment,Q05,what_was_the_number_of_missed_calls,3,0,1,0,0,0,1
EC14,experiment,Q06,what_was_the_sport_for_the_score_update,Football,0,0,0,1,1,1
EC14,experiment,Q07,what_was_the_score_in_the_game,12-Oct,0,0,0,1,1,0
EC14,control,Q08,what_day_and_time_was_lecture,I don’t remember,NA,NA,NA,NA,NA,0
EC14,control,Q09,what_place_was_lecture,Discovery center,NA,NA,NA,NA,NA,1
EC14,control,Q10,what_was_the_subject_of_the_email_from_susan,Seminar,NA,NA,NA,NA,NA,1
EC14,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s pizza,NA,NA,NA,NA,NA,1
EC14,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC14,control,Q13,what_was_the_weather_in_chicago,46 and partly cloudy,NA,NA,NA,NA,NA,1
EC14,control,Q14,what_was_the_temperature_in_chicago,46F,NA,NA,NA,NA,NA,1
EC2,experiment,Q01,what_day_and_time_was_dinner,7:00 PM,1,0,0,1,0,0
EC2,experiment,Q02,what_place_was_dinner,Mary,1,0,0,1,0,0
EC2,experiment,Q03,what_was_the_message_from_mary,Dinner at 7:00,0,1,0,0,1,0
EC2,experiment,Q04,what_item_did_you_order_from_amazon,Shoes,1,0,1,1,0,0
EC2,experiment,Q05,what_was_the_number_of_missed_calls,3,0,1,0,0,0,1
EC2,experiment,Q06,what_was_the_sport_for_the_score_update,Football,0,1,0,1,0,1
EC2,experiment,Q07,what_was_the_score_in_the_game,Jul-00,0,1,0,1,0,0
EC2,control,Q08,what_day_and_time_was_lecture,Tuesday 2 pm,NA,NA,NA,NA,NA,0
EC2,control,Q09,what_place_was_lecture,Engineering Hall,NA,NA,NA,NA,NA,0
EC2,control,Q10,what_was_the_subject_of_the_email_from_susan,Term paper,NA,NA,NA,NA,NA,0
EC2,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Chicken wrap,NA,NA,NA,NA,NA,0
EC2,control,Q12,what_was_the_remaining_battery_power,15%,NA,NA,NA,NA,NA,0
EC2,control,Q13,what_was_the_weather_in_chicago,Cloudy rain,NA,NA,NA,NA,NA,1
EC2,control,Q14,what_was_the_temperature_in_chicago,45 degrees,NA,NA,NA,NA,NA,1
EC3,experiment,Q01,what_day_and_time_was_dinner,6:00 PM,1,1,1,0,0,1
EC3,experiment,Q02,what_place_was_dinner,Sushi place,1,1,1,0,0,1
EC3,experiment,Q03,what_was_the_message_from_mary,She’s here,0,0,0,0,1,1
EC3,experiment,Q04,what_item_did_you_order_from_amazon,A package,0,1,1,0,1,0
EC3,experiment,Q05,what_was_the_number_of_missed_calls,3,0,1,1,1,1,1
EC3,experiment,Q06,what_was_the_sport_for_the_score_update,Basketball,1,1,1,0,1,0
EC3,experiment,Q07,what_was_the_score_in_the_game,No clue,1,1,1,0,1,0
EC3,control,Q08,what_day_and_time_was_lecture,Tuesday,NA,NA,NA,NA,NA,0
EC3,control,Q09,what_place_was_lecture,Not sure,NA,NA,NA,NA,NA,0
EC3,control,Q10,what_was_the_subject_of_the_email_from_susan,Not sure,NA,NA,NA,NA,NA,0
EC3,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Not sure,NA,NA,NA,NA,NA,0
EC3,control,Q12,what_was_the_remaining_battery_power,8 percent,NA,NA,NA,NA,NA,0
EC3,control,Q13,what_was_the_weather_in_chicago,Sunny,NA,NA,NA,NA,NA,0
EC3,control,Q14,what_was_the_temperature_in_chicago,Not sure,NA,NA,NA,NA,NA,0
EC4,experiment,Q01,what_day_and_time_was_dinner,Wednesday 18:00,1,0,0,0,1,1
EC4,experiment,Q02,what_place_was_dinner,Fin,1,0,0,0,1,1
EC4,experiment,Q03,what_was_the_message_from_mary,I am here,1,0,0,1,0,1
EC4,experiment,Q04,what_item_did_you_order_from_amazon,Monitor,0,0,1,0,1,1
EC4,experiment,Q05,what_was_the_number_of_missed_calls,"No idea,  but I know there is a missed call",1,1,0,1,1,0
EC4,experiment,Q06,what_was_the_sport_for_the_score_update,Football,0,0,0,0,1,1
EC4,experiment,Q07,what_was_the_score_in_the_game,16-16,0,0,0,0,1,1
EC4,control,Q08,what_day_and_time_was_lecture,Wednesday 18:00,NA,NA,NA,NA,NA,0
EC4,control,Q09,what_place_was_lecture,Discovery building,NA,NA,NA,NA,NA,1
EC4,control,Q10,what_was_the_subject_of_the_email_from_susan,Science seminar,NA,NA,NA,NA,NA,1
EC4,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Ian’s pizza,NA,NA,NA,NA,NA,1
EC4,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC4,control,Q13,what_was_the_weather_in_chicago,Partly cloudy,NA,NA,NA,NA,NA,1
EC4,control,Q14,what_was_the_temperature_in_chicago,46,NA,NA,NA,NA,NA,1
EC5,experiment,Q01,what_day_and_time_was_dinner,Wednesday at 6 PM,0,1,0,0,1,1
EC5,experiment,Q02,what_place_was_dinner,Fresh Fin,0,1,0,0,1,1
EC5,experiment,Q03,what_was_the_message_from_mary,NA,0,0,0,1,0,0
EC5,experiment,Q04,what_item_did_you_order_from_amazon,Monitor,0,0,1,1,0,1
EC5,experiment,Q05,what_was_the_number_of_missed_calls,3,1,1,1,0,0,1
EC5,experiment,Q06,what_was_the_sport_for_the_score_update,Football,1,1,1,0,1,1
EC5,experiment,Q07,what_was_the_score_in_the_game,16-16,1,1,1,0,1,1
EC5,control,Q08,what_day_and_time_was_lecture,Tuesday,NA,NA,NA,NA,NA,0
EC5,control,Q09,what_place_was_lecture,?,NA,NA,NA,NA,NA,0
EC5,control,Q10,what_was_the_subject_of_the_email_from_susan,?,NA,NA,NA,NA,NA,0
EC5,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Chipotle,NA,NA,NA,NA,NA,0
EC5,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC5,control,Q13,what_was_the_weather_in_chicago,Partly Cloudy,NA,NA,NA,NA,NA,1
EC5,control,Q14,what_was_the_temperature_in_chicago,60,NA,NA,NA,NA,NA,0
EC6,experiment,Q01,what_day_and_time_was_dinner,7pm Wednesday,0,1,0,1,0,0
EC6,experiment,Q02,what_place_was_dinner,Orville’s,0,1,0,1,0,0
EC6,experiment,Q03,what_was_the_message_from_mary,I’m here,0,0,0,1,1,1
EC6,experiment,Q04,what_item_did_you_order_from_amazon,Monitor,1,0,1,1,0,1
EC6,experiment,Q05,what_was_the_number_of_missed_calls,3,1,0,1,0,0,1
EC6,experiment,Q06,what_was_the_sport_for_the_score_update,Football,0,1,1,0,0,1
EC6,experiment,Q07,what_was_the_score_in_the_game,12-Dec,0,1,1,0,0,0
EC6,control,Q08,what_day_and_time_was_lecture,Wednesday at 9am,NA,NA,NA,NA,NA,0
EC6,control,Q09,what_place_was_lecture,CS building,NA,NA,NA,NA,NA,0
EC6,control,Q10,what_was_the_subject_of_the_email_from_susan,Science seminar,NA,NA,NA,NA,NA,1
EC6,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Marty’s,NA,NA,NA,NA,NA,0
EC6,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC6,control,Q13,what_was_the_weather_in_chicago,Sunny,NA,NA,NA,NA,NA,0
EC6,control,Q14,what_was_the_temperature_in_chicago,35,NA,NA,NA,NA,NA,0
EC7,experiment,Q01,what_day_and_time_was_dinner,Evening on a weekend,1,0,0,1,1,0
EC7,experiment,Q02,what_place_was_dinner,Don’t remember,1,0,0,1,1,0
EC7,experiment,Q03,what_was_the_message_from_mary,Something about school,1,0,1,1,1,0
EC7,experiment,Q04,what_item_did_you_order_from_amazon,3 of something,1,0,0,0,1,0
EC7,experiment,Q05,what_was_the_number_of_missed_calls,4,1,1,0,0,1,0
EC7,experiment,Q06,what_was_the_sport_for_the_score_update,"Wisconsin v Minnesota, football",0,0,0,0,1,1
EC7,experiment,Q07,what_was_the_score_in_the_game,17 to something,0,0,0,0,1,0
EC7,control,Q08,what_day_and_time_was_lecture,Don’t remember,NA,NA,NA,NA,NA,0
EC7,control,Q09,what_place_was_lecture,Science building?,NA,NA,NA,NA,NA,0
EC7,control,Q10,what_was_the_subject_of_the_email_from_susan,Don’t remember,NA,NA,NA,NA,NA,0
EC7,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Don’t remember,NA,NA,NA,NA,NA,0
EC7,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC7,control,Q13,what_was_the_weather_in_chicago,Cloudy,NA,NA,NA,NA,NA,1
EC7,control,Q14,what_was_the_temperature_in_chicago,50 something,NA,NA,NA,NA,NA,0
EC8,experiment,Q01,what_day_and_time_was_dinner,Don’t remember,0,1,1,1,1,0
EC8,experiment,Q02,what_place_was_dinner,Fin,0,1,1,1,1,1
EC8,experiment,Q03,what_was_the_message_from_mary,I am here,0,0,1,1,0,1
EC8,experiment,Q04,what_item_did_you_order_from_amazon,Monitor,0,1,1,1,0,1
EC8,experiment,Q05,what_was_the_number_of_missed_calls,1,0,1,0,0,1,0
EC8,experiment,Q06,what_was_the_sport_for_the_score_update,Wisconsin vs Minnesota 16:16,0,0,1,0,1,1
EC8,experiment,Q07,what_was_the_score_in_the_game,16:16,0,0,1,0,1,1
EC8,control,Q08,what_day_and_time_was_lecture,Don’t remember,NA,NA,NA,NA,NA,0
EC8,control,Q09,what_place_was_lecture,Don’t remember,NA,NA,NA,NA,NA,0
EC8,control,Q10,what_was_the_subject_of_the_email_from_susan,Don’t remember,NA,NA,NA,NA,NA,0
EC8,control,Q11,what_restaurant_did_you_order_from_via_door_dash,Don’t remember,NA,NA,NA,NA,NA,0
EC8,control,Q12,what_was_the_remaining_battery_power,98?,NA,NA,NA,NA,NA,0
EC8,control,Q13,what_was_the_weather_in_chicago,Don’t remember,NA,NA,NA,NA,NA,0
EC8,control,Q14,what_was_the_temperature_in_chicago,Don’t remember,NA,NA,NA,NA,NA,0
EC9,experiment,Q01,what_day_and_time_was_dinner,Tuesday,0,1,0,1,0,0
EC9,experiment,Q02,what_place_was_dinner,Freshfin,0,1,0,1,0,1
EC9,experiment,Q03,what_was_the_message_from_mary,She was there,1,1,1,0,1,1
EC9,experiment,Q04,what_item_did_you_order_from_amazon,idk,1,0,1,0,1,0
EC9,experiment,Q05,what_was_the_number_of_missed_calls,3,0,1,1,0,1,1
EC9,experiment,Q06,what_was_the_sport_for_the_score_update,Football,0,1,0,0,0,1
EC9,experiment,Q07,what_was_the_score_in_the_game,12-Dec,0,1,0,0,0,0
EC9,control,Q08,what_day_and_time_was_lecture,idk,NA,NA,NA,NA,NA,0
EC9,control,Q09,what_place_was_lecture,Discovery building,NA,NA,NA,NA,NA,1
EC9,control,Q10,what_was_the_subject_of_the_email_from_susan,idk,NA,NA,NA,NA,NA,0
EC9,control,Q11,what_restaurant_did_you_order_from_via_door_dash,idk,NA,NA,NA,NA,NA,0
EC9,control,Q12,what_was_the_remaining_battery_power,5%,NA,NA,NA,NA,NA,1
EC9,control,Q13,what_was_the_weather_in_chicago,Cold,NA,NA,NA,NA,NA,0
EC9,control,Q14,what_was_the_temperature_in_chicago,idk,NA,NA,NA,NA,NA,0
